step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax,yc,vc,circularity,pmax_minus_pmin
0,0,0,0.25,1.08397e-12,1.53211e-14,1,1e+30,-1e+30,12,4,6,0.997592,0.5,-1.34848e-18,inf,0.996691
10,0.0805712,0.0082906,0.220145,1.0012e-12,0.00145465,1,1e+30,-1e+30,11,3,6,0.936192,0.5,1.16756e-08,inf,0.888981
20,0.166591,0.00886844,0.192199,9.37694e-13,0.00136624,1,1e+30,-1e+30,11,3,6,0.874793,0.5,2.30369e-07,inf,0.77651
24,0.2,0.00642661,0.182328,1.13043e-12,0.000894742,1,1e+30,-1e+30,11,3,6,0.852041,0.5,3.26487e-07,inf,0.735042
