step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,mac_iters,visc_iters,nodal_iters,umax,max_dudt,rms_dudt
0,0,0,0,2.23475e-11,0,9,6,7,0,0,0
20,0.104167,0.00520833,0.00935387,5.26246e-12,1.41694,9,5,6,0.897154,2.22742,0.491745
40,0.208333,0.00520833,0.0127661,5.56355e-12,1.41437,9,4,6,0.923886,1.09955,0.273725
60,0.3125,0.00520833,0.0151419,5.97433e-12,1.41466,9,4,5,0.935675,0.723794,0.193162
80,0.416667,0.00520833,0.016989,5.87397e-12,1.41464,9,4,5,0.942739,0.536018,0.150208
100,0.520833,0.00520833,0.0185021,5.72076e-12,1.4146,9,4,5,0.94757,0.421043,0.123178
120,0.625,0.00520833,0.0197808,5.75007e-12,1.41458,9,4,5,0.951108,0.342512,0.104438
140,0.729167,0.00520833,0.0208842,5.59019e-12,1.41457,9,4,5,0.953808,0.285512,0.090583
160,0.833333,0.00520833,0.021851,5.47562e-12,1.41457,9,4,5,0.955932,0.242079,0.0798555
180,0.9375,0.00520833,0.0227078,5.4583e-12,1.41457,9,4,5,0.957636,0.207733,0.0712591
200,1.04167,0.00520833,0.0234744,5.50493e-12,1.41457,9,4,5,0.959032,0.180103,0.0641839
220,1.14583,0.00520833,0.0241656,5.57732e-12,1.41457,9,4,5,0.96019,0.157446,0.0582378
240,1.25,0.00520833,0.0247929,5.57465e-12,1.41456,9,4,5,0.961155,0.13898,0.053157
260,1.35417,0.00520833,0.0253654,5.55556e-12,1.41456,9,4,5,0.961964,0.123535,0.0487571
280,1.45833,0.00520833,0.0258905,5.51026e-12,1.41456,9,4,5,0.962651,0.110453,0.0449053
300,1.5625,0.00520833,0.0263743,5.49294e-12,1.41456,9,4,5,0.963242,0.0993609,0.0415034
320,1.66667,0.00520833,0.0268216,5.47562e-12,1.41456,9,4,5,0.963748,0.0899369,0.0384763
340,1.77083,0.00520833,0.0272367,5.47562e-12,1.41456,9,4,5,0.964183,0.0817166,0.0357655
360,1.875,0.00520833,0.0276231,5.49161e-12,1.41456,9,4,5,0.964558,0.0746676,0.0333245
380,1.97917,0.00520833,0.0279837,5.45164e-12,1.41456,9,4,5,0.964883,0.0684207,0.0311156
400,2.08333,0.00520833,0.0283211,5.4543e-12,1.41456,9,4,5,0.965166,0.0629528,0.0291081
420,2.1875,0.00520833,0.0286376,5.41966e-12,1.41456,9,3,5,0.96542,0.0580075,0.0272759
440,2.29167,0.00520833,0.0289349,5.40901e-12,1.41456,9,3,5,0.965648,0.0536775,0.0255976
460,2.39583,0.00520833,0.0292146,5.41833e-12,1.41456,9,3,5,0.965849,0.0497409,0.0240549
480,2.5,0.00520833,0.0294784,5.43698e-12,1.41456,9,3,5,0.966028,0.0461523,0.022632
500,2.60417,0.00520833,0.0297272,5.44365e-12,1.41456,9,3,5,0.966189,0.0429372,0.0213158
520,2.70833,0.00520833,0.0299624,5.46629e-12,1.41456,9,3,4,0.966333,0.0399976,0.0200947
540,2.8125,0.00520833,0.0301848,5.46763e-12,1.41456,9,3,4,0.966462,0.0373023,0.0189589
560,2.91667,0.00520833,0.0303953,5.47562e-12,1.41456,9,3,4,0.96658,0.0348211,0.0178999
580,3.02083,0.00520833,0.0305947,5.47562e-12,1.41456,9,3,4,0.966687,0.032533,0.0169101
600,3.125,0.00520833,0.0307837,5.48095e-12,1.41457,9,3,4,0.966784,0.0304355,0.0159833
620,3.22917,0.00520833,0.0309629,5.46363e-12,1.41457,9,3,4,0.966873,0.028494,0.0151138
640,3.33333,0.00520833,0.0311329,5.45697e-12,1.41457,9,3,4,0.96696,0.0267083,0.0142967
660,3.4375,0.00520833,0.0312941,5.46496e-12,1.41457,9,3,4,0.96704,0.0250462,0.0135277
680,3.54167,0.00520833,0.0314472,5.4623e-12,1.41457,9,3,4,0.967115,0.0235107,0.0128032
700,3.64583,0.00520833,0.0315925,5.45297e-12,1.41457,9,3,4,0.967183,0.0220752,0.0121197
720,3.75,0.00520833,0.0317304,5.44098e-12,1.41457,9,3,4,0.967247,0.0207465,0.0114744
740,3.85417,0.00520833,0.0318613,5.42766e-12,1.41457,9,3,4,0.967306,0.0195018,0.0108646
760,3.95833,0.00520833,0.0319856,5.41167e-12,1.41457,9,3,4,0.967362,0.0183456,0.0102879
780,4.0625,0.00520833,0.0321036,5.40368e-12,1.41457,9,3,4,0.967413,0.0172648,0.00974225
800,4.16667,0.00520833,0.0322157,5.40901e-12,1.41457,9,3,4,0.967461,0.0162562,0.00922577
820,4.27083,0.00520833,0.032322,5.41034e-12,1.41457,9,3,4,0.967506,0.01531,0.00873668
840,4.375,0.00520833,0.032423,5.41434e-12,1.41457,9,3,4,0.967548,0.0144281,0.0082734
860,4.47917,0.00520833,0.0325188,5.41167e-12,1.41457,9,3,4,0.967587,0.0135989,0.00783448
880,4.58333,0.00520833,0.0326097,5.41167e-12,1.41457,9,3,4,0.967624,0.0128191,0.00741856
900,4.6875,0.00520833,0.032696,5.40368e-12,1.41457,9,3,4,0.967658,0.0120903,0.0070244
920,4.79167,0.00520833,0.0327779,5.39702e-12,1.41457,9,3,4,0.96769,0.0114046,0.00665084
940,4.89583,0.00520833,0.0328556,5.39835e-12,1.41457,9,3,4,0.967721,0.010759,0.00629679
960,5,0.00520833,0.0329292,5.39835e-12,1.41457,9,3,4,0.967749,0.0101511,0.00596122
980,5.10417,0.00520833,0.0329991,5.39835e-12,1.41457,9,3,4,0.967776,0.00958088,0.00564318
1000,5.20833,0.00520833,0.0330653,5.39568e-12,1.41457,9,3,4,0.967801,0.00904399,0.00534177
1020,5.3125,0.00520833,0.0331282,5.39435e-12,1.41457,9,3,4,0.967825,0.00853782,0.00505613
1040,5.41667,0.00520833,0.0331877,5.39968e-12,1.41457,9,3,4,0.967847,0.00806057,0.00478545
1060,5.52083,0.00520833,0.0332442,5.39968e-12,1.41457,9,3,4,0.967868,0.00761055,0.00452898
1080,5.625,0.00520833,0.0332977,5.37437e-12,1.41457,9,3,4,0.967889,0.00718619,0.00428595
1100,5.72917,0.00520833,0.0333484,5.37836e-12,1.41457,9,3,4,0.96791,0.00678731,0.00405575
1120,5.83333,0.00520833,0.0333964,5.3757e-12,1.41457,9,3,4,0.967929,0.0064109,0.00383767
1140,5.9375,0.00520833,0.033442,5.37437e-12,1.41457,9,3,4,0.967947,0.00605561,0.00363111
1160,6.04167,0.00520833,0.0334851,5.3717e-12,1.41457,9,3,4,0.967964,0.00572029,0.00343547
1180,6.14583,0.00520833,0.0335259,5.37037e-12,1.41457,9,3,4,0.96798,0.00540374,0.0032502
1200,6.25,0.00520833,0.0335646,5.3717e-12,1.41457,9,3,4,0.967996,0.00510489,0.00307476
1220,6.35417,0.00520833,0.0336013,5.36771e-12,1.41457,9,3,4,0.96801,0.00482274,0.00290865
1240,6.45833,0.00520833,0.033636,5.36771e-12,1.41457,9,3,4,0.968024,0.00455635,0.00275138
1260,6.5625,0.00520833,0.0336689,5.37037e-12,1.41457,9,3,4,0.968036,0.0043048,0.00260249
1280,6.66667,0.00520833,0.0337,5.36771e-12,1.41457,9,3,4,0.968048,0.00407611,0.00246155
1300,6.77083,0.00520833,0.0337294,5.3717e-12,1.41457,9,3,4,0.96806,0.00386064,0.00232815
1320,6.875,0.00520833,0.0337573,5.37703e-12,1.41457,9,3,4,0.968071,0.00365602,0.00220189
1340,6.97917,0.00520833,0.0337837,5.37836e-12,1.41457,9,3,4,0.968081,0.0034618,0.0020824
1360,7.08333,0.00520833,0.0338087,5.3797e-12,1.41457,9,3,4,0.96809,0.00327805,0.00196933
1380,7.1875,0.00520833,0.0338323,5.38103e-12,1.41457,9,3,4,0.968099,0.00310366,0.00186233
1400,7.29167,0.00520833,0.0338547,5.38236e-12,1.41457,9,3,4,0.968108,0.00293821,0.00176109
1420,7.39583,0.00520833,0.0338759,5.38503e-12,1.41457,9,3,4,0.968116,0.00278128,0.00166531
1440,7.5,0.00520833,0.0338959,5.38769e-12,1.41457,9,3,4,0.968123,0.00263246,0.00157468
1460,7.60417,0.00520833,0.0339149,5.38769e-12,1.41457,9,3,4,0.968131,0.00249135,0.00148895
1480,7.70833,0.00520833,0.0339328,5.39169e-12,1.41457,9,3,4,0.968137,0.0023576,0.00140786
1500,7.8125,0.00520833,0.0339498,5.39568e-12,1.41457,9,3,4,0.968144,0.00223085,0.00133114
1520,7.91667,0.00520833,0.0339659,5.39035e-12,1.41457,9,3,4,0.96815,0.00211076,0.00125858
1540,8.02083,0.00520833,0.033981,5.38902e-12,1.41457,9,3,4,0.968156,0.00199697,0.00118995
1560,8.125,0.00520833,0.0339954,5.39169e-12,1.41457,9,3,4,0.968161,0.00188922,0.00112504
1580,8.22917,0.00520833,0.034009,5.39035e-12,1.41457,9,3,4,0.968166,0.00178715,0.00106365
1600,8.33333,0.00520833,0.0340219,5.39302e-12,1.41457,9,3,4,0.968171,0.0016905,0.00100559
1620,8.4375,0.00520833,0.034034,5.39302e-12,1.41457,9,3,4,0.968176,0.00159898,0.000950685
1640,8.54167,0.00520833,0.0340455,5.39302e-12,1.41457,9,3,4,0.96818,0.00151235,0.000898766
1660,8.64583,0.00520833,0.0340564,5.39302e-12,1.41457,9,3,4,0.968184,0.00143034,0.000849669
1680,8.75,0.00520833,0.0340667,5.39302e-12,1.41457,9,3,4,0.968188,0.00135272,0.000803243
1700,8.85417,0.00520833,0.0340764,5.39169e-12,1.41457,9,3,4,0.968191,0.00127926,0.000759345
1720,8.95833,0.00520833,0.0340856,5.39169e-12,1.41457,9,3,4,0.968195,0.00120973,0.000717836
1740,9.0625,0.00520833,0.0340943,5.39302e-12,1.41457,9,3,4,0.968198,0.00114395,0.000678588
1760,9.16667,0.00520833,0.0341026,5.39302e-12,1.41457,9,3,4,0.968201,0.00108171,0.00064148
1780,9.27083,0.00520833,0.0341104,5.39435e-12,1.41457,9,3,4,0.968204,0.00102282,0.000606394
1800,9.375,0.00520833,0.0341177,5.39035e-12,1.41457,9,3,4,0.968207,0.000967114,0.000573222
1820,9.47917,0.00520833,0.0341247,5.39702e-12,1.41457,9,3,4,0.968209,0.000914415,0.00054186
1840,9.58333,0.00520833,0.0341313,5.39702e-12,1.41457,9,3,4,0.968212,0.000864567,0.00051221
1860,9.6875,0.00520833,0.0341375,5.39302e-12,1.41457,9,3,4,0.968214,0.000817417,0.000484178
1880,9.79167,0.00520833,0.0341434,5.38902e-12,1.41457,9,3,4,0.968216,0.000772822,0.000457678
1900,9.89583,0.00520833,0.0341489,5.39568e-12,1.41457,9,3,4,0.968218,0.000730644,0.000432624
1920,10,0.00520833,0.0341542,5.39302e-12,1.41457,9,3,4,0.96822,0.000690756,0.00040894
1940,10.1042,0.00520833,0.0341592,5.39702e-12,1.41457,9,3,4,0.968222,0.000653035,0.00038655
1960,10.2083,0.00520833,0.0341639,5.39302e-12,1.41457,9,3,4,0.968224,0.000617363,0.000365384
1980,10.3125,0.00520833,0.0341683,5.39035e-12,1.41457,9,3,4,0.968226,0.000583631,0.000345375
2000,10.4167,0.00520833,0.0341725,5.39035e-12,1.41457,9,3,4,0.968227,0.000551735,0.00032646
2020,10.5208,0.00520833,0.0341765,5.39435e-12,1.41457,9,2,4,0.968229,0.000521576,0.00030858
2040,10.625,0.00520833,0.0341802,5.39435e-12,1.41457,9,2,4,0.96823,0.000493059,0.000291678
2060,10.7292,0.00520833,0.0341838,5.39568e-12,1.41457,9,2,4,0.968231,0.000466095,0.0002757
2080,10.8333,0.00520833,0.0341871,5.39169e-12,1.41457,9,2,4,0.968233,0.000440602,0.000260597
2100,10.9375,0.00520833,0.0341903,5.39302e-12,1.41457,9,2,4,0.968234,0.000416499,0.000246321
2120,11.0417,0.00520833,0.0341933,5.39435e-12,1.41457,9,2,4,0.968235,0.000393711,0.000232825
2140,11.1458,0.00520833,0.0341961,5.39568e-12,1.41457,9,2,3,0.968236,0.000372167,0.000220069
