step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.070711,0.0706812,0.00662419,1.34277e-05,0.000184587,8.51469e-05,0
20,0.0390683,0.00195355,0.0707101,0.0706758,0.0141796,0.020092,0.0338719,0.0065329,0
40,0.0781456,0.00195422,0.0707091,0.070677,0.0124526,0.0400536,0.0384125,0.00658519,0
60,0.117241,0.00195535,0.0707077,0.070676,0.0139637,0.059704,0.04255,0.00647805,0
80,0.156364,0.00195694,0.0707058,0.0706708,0.0213032,0.0788412,0.0460461,0.0062611,0
100,0.195524,0.001959,0.0707037,0.0706694,0.023246,0.097122,0.0462634,0.0062352,0
120,0.23473,0.00196153,0.0707017,0.0706693,0.0234619,0.114001,0.043712,0.00628922,0
140,0.273991,0.00196454,0.0707001,0.0706709,0.0210873,0.128497,0.0449561,0.00640416,0
160,0.313318,0.00196804,0.0706987,0.0706639,0.0310172,0.138889,0.0467057,0.00651302,0
180,0.35272,0.00197202,0.0706976,0.0706631,0.0320966,0.141358,0.0490294,0.00660669,0
200,0.392206,0.00197651,0.0706965,0.0706596,0.0370615,0.141354,0.0694332,0.00668603,0
220,0.431788,0.0019815,0.070696,0.0706674,0.0260523,0.141362,0.127256,0.00663072,0
240,0.471475,0.00198702,0.0706956,0.0706635,0.0316648,0.141358,0.178915,0.00670366,0
260,0.511278,0.00199307,0.0706952,0.0706583,0.0390043,0.141353,0.198033,0.00658432,0
280,0.551208,0.00199967,0.0706952,0.0706705,0.0217349,0.141365,0.291063,0.00661788,0
300,0.591276,0.00200684,0.0706952,0.0706604,0.0359822,0.141355,0.360689,0.00659166,0
320,0.631493,0.00201458,0.0706951,0.070663,0.0323124,0.141358,0.255834,0.00627917,0
340,0.671871,0.00202293,0.0706947,0.0706601,0.0364139,0.141355,0.474725,0.00640595,0
360,0.712423,0.0020319,0.0706935,0.0706569,0.0409472,0.141351,0.506986,0.00649194,0
380,0.753161,0.00204151,0.0706923,0.0706625,0.03296,0.141357,0.585659,0.00680595,0
400,0.794098,0.0020518,0.070693,0.0706578,0.0396519,0.141352,0.814786,0.00749882,0
420,0.835248,0.00206278,0.0706948,0.0706673,0.0262681,0.141362,0.692269,0.00757295,0
440,0.876625,0.00207449,0.0706995,0.0706595,0.0372774,0.141354,0.783178,0.00886813,0
460,0.918245,0.00208696,0.0707082,0.0706757,0.0143954,0.14137,0.866901,0.00863285,0
480,0.960122,0.00210023,0.0707212,0.070688,-0.00308986,0.141383,0.823789,0.0103704,0
500,1.00227,0.00211434,0.0707417,0.0707137,-0.0393556,0.140392,0.946692,0.0100564,0
520,1.04472,0.00212933,0.0707676,0.0707339,-0.068066,0.136884,0.923776,0.0117124,0
540,1.08747,0.00214526,0.0707929,0.0707576,-0.101526,0.132033,0.975718,0.0145681,0
560,1.13055,0.00216217,0.0708172,0.0707852,-0.140598,0.126383,0.989949,0.014887,0
580,1.17398,0.00218012,0.0708373,0.0708025,-0.164991,0.121639,0.979483,0.0151706,0
600,1.21778,0.00219919,0.0708507,0.0708176,-0.186362,0.118021,0.981288,0.0155698,0
620,1.26197,0.00221944,0.0708661,0.0708298,-0.203631,0.115382,0.979734,0.015736,0
640,1.30659,0.00224095,0.070877,0.0708435,-0.223059,0.113557,0.97223,0.0155531,0
