step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,591.369,581.6,0.104264,9.04,0.957318,0.0995357,0
20,40.7956,2.03978,578.545,568.04,2.43333,792.76,0.948413,0.111831,0
40,81.5913,2.03978,576.606,567.16,2.58448,840.04,0.929753,0.0943804,1
60,122.387,2.03978,574.707,566.04,2.77685,1141.96,0.89155,0.100451,0
80,163.183,2.03978,564.539,555.16,4.6456,1143.08,0.854588,0.104615,0
100,203.978,2.03978,558.08,549.28,5.65555,1137.2,0.953327,0.0990388,0
120,244.774,2.03978,558.551,549.68,5.58685,1137.6,0.896133,0.0973551,0
140,285.569,2.03978,556.418,547.52,5.95785,1135.44,0.96365,0.0940402,0
160,326.365,2.03978,551.901,543.32,6.67924,1131.24,0.820705,0.0965152,0
180,367.161,2.03978,549.333,540.48,7.16704,1128.4,0.938244,0.0886102,0
200,407.956,2.03978,549.745,540.88,7.09834,1128.8,0.908685,0.0890631,1
220,448.752,2.03978,548.746,540.52,7.16017,1128.44,0.90462,0.0873101,0
240,489.548,2.03978,547.463,538.6,7.48995,1124.04,0.865019,0.100737,0
260,530.343,2.03978,546.755,537.88,7.61362,930.76,0.886475,0.0832674,0
280,571.139,2.03978,546.832,538.64,7.48308,869.04,0.872157,0.0774992,0
300,611.935,2.03978,546.621,538.36,7.53118,302.6,0.931576,0.0999495,0
308,628,1.78701,546.985,537.96,7.59988,202.28,0.959811,0.105982,0
