step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
580,291.31,0.502258,582.911,582.263,-0.00952744,1164.58,0.219088,0.00288485,0
600,301.355,0.502258,582.913,582.438,-0.0395855,1164.76,0.245695,0.00267733,0
620,311.4,0.502258,582.913,582.383,-0.0301387,1164.7,0.288718,0.00252974,0
640,321.445,0.502258,582.919,582.388,-0.0309975,1164.71,0.336859,0.00275891,0
660,331.49,0.502258,582.921,582.37,-0.0279917,1164.69,0.262358,0.00250166,0
680,341.535,0.502258,582.921,582.44,-0.0400149,1164.76,0.263856,0.00271591,0
700,351.58,0.502258,582.927,582.36,-0.0262741,1164.68,0.236838,0.00259874,0
720,361.626,0.502258,582.927,582.342,-0.0232683,1164.66,0.30131,0.00298155,0
740,371.671,0.502258,582.931,582.405,-0.0340033,1164.72,0.243631,0.00304234,0
760,381.716,0.502258,582.927,582.33,-0.0211213,1164.65,0.22435,0.00310396,0
780,391.761,0.502258,582.931,582.45,-0.0417325,1164.77,0.261118,0.00314677,0
800,401.806,0.502258,582.931,582.48,-0.0468853,1164.8,0.215385,0.00309778,0
820,411.851,0.502258,582.928,582.45,-0.0417325,1164.77,0.209525,0.0030262,0
840,421.897,0.502258,582.929,582.438,-0.0395855,1164.76,0.241408,0.00314104,0
860,431.942,0.502258,582.928,582.375,-0.0288505,1164.69,0.205584,0.00298008,0
880,441.987,0.502258,582.932,582.425,-0.0374385,1164.74,0.239316,0.00268369,0
900,452.032,0.502258,582.932,582.367,-0.0275623,1164.69,0.302568,0.00257264,0
920,462.077,0.502258,582.933,582.393,-0.0318563,1164.71,0.326315,0.00242502,0
940,472.122,0.502258,582.932,582.36,-0.0262741,1164.68,0.219473,0.00232849,0
960,482.167,0.502258,582.939,582.43,-0.0382973,1164.75,0.263964,0.00232638,0
980,492.213,0.502258,582.937,582.445,-0.0408737,1164.77,0.252858,0.00214607,0
1000,502.258,0.502258,582.94,582.455,-0.0425913,1160.13,0.253392,0.00259535,0
1020,512.303,0.502258,582.942,582.45,-0.0417325,1120.63,0.235472,0.00241384,0
1040,522.348,0.502258,582.946,582.433,-0.0387267,1059.13,0.285304,0.00287969,0
1060,532.393,0.502258,582.948,582.433,-0.0387267,980.793,0.252509,0.00268228,0
1080,542.438,0.502258,582.946,582.378,-0.0292799,887.913,0.196217,0.00281219,0
1100,552.484,0.502258,582.948,582.445,-0.0408737,788.865,0.210247,0.00293585,0
1120,562.529,0.502258,582.951,582.38,-0.0297093,764.265,0.200225,0.00290061,0
1140,572.574,0.502258,582.952,582.435,-0.0391561,795.74,0.18985,0.00281539,0
1160,582.619,0.502258,582.957,582.43,-0.0382973,810.12,0.129896,0.00276425,0
1180,592.664,0.502258,582.956,582.442,-0.0404443,734.602,0.190433,0.00260502,0
1200,602.709,0.502258,582.962,582.457,-0.0430207,587.847,0.179878,0.00241878,0
1220,612.755,0.502258,582.962,582.398,-0.0327151,390.543,0.181457,0.00241135,0
1240,622.8,0.502258,582.959,582.42,-0.0365797,133.345,0.175205,0.00212744,0
1251,628,0.177737,582.963,582.415,-0.0357209,5.24,0.174647,0.00202842,0
