step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,583.647,582.15,0.00979559,0.27,0.672758,0.0138909,0
20,10.0452,0.502258,583.486,582.135,0.012372,260.565,0.750539,0.0137364,0
40,20.0903,0.502258,583.208,582.175,0.00550158,496.575,0.826447,0.0120177,0
60,30.1355,0.502258,583.05,582.117,0.0153778,664.447,0.785243,0.00780029,0
80,40.1806,0.502258,582.927,582.263,-0.00952744,780.702,0.814572,0.00624492,0
100,50.2258,0.502258,582.846,582.322,-0.019833,817.053,0.739696,0.0060888,0
120,60.2709,0.502258,582.877,582.308,-0.0172566,774.518,0.431325,0.00493901,0
140,70.3161,0.502258,582.892,582.308,-0.0172566,768.702,0.410982,0.00482049,0
160,80.3612,0.502258,582.906,582.438,-0.0395855,835.362,0.318895,0.00421762,0
180,90.4064,0.502258,582.904,582.465,-0.0443089,934.52,0.337786,0.00432446,0
200,100.452,0.502258,582.904,582.447,-0.0413031,1020.54,0.357905,0.0043849,0
220,110.497,0.502258,582.9,582.34,-0.0228389,1091.16,0.266771,0.00381868,0
240,120.542,0.502258,582.892,582.365,-0.0271329,1143.11,0.252437,0.00376082,0
260,130.587,0.502258,582.889,582.34,-0.0228389,1164.66,0.276437,0.00344594,0
280,140.632,0.502258,582.887,582.315,-0.0185448,1164.63,0.380736,0.00363003,0
300,150.677,0.502258,582.889,582.4,-0.0331445,1164.72,0.311735,0.00308284,0
320,160.722,0.502258,582.895,582.35,-0.0245565,1164.67,0.30962,0.00283515,0
340,170.768,0.502258,582.898,582.395,-0.0322857,1164.71,0.305219,0.00284712,0
360,180.813,0.502258,582.9,582.405,-0.0340033,1164.72,0.342998,0.00309125,0
380,190.858,0.502258,582.901,582.408,-0.0344327,1164.73,0.273317,0.00301496,0
400,200.903,0.502258,582.909,582.393,-0.0318563,1164.71,0.309984,0.00334293,0
420,210.948,0.502258,582.917,582.41,-0.0348621,1164.73,0.284999,0.00337601,0
440,220.993,0.502258,582.918,582.367,-0.0275623,1164.69,0.313618,0.00339102,0
460,231.039,0.502258,582.92,582.332,-0.0215507,1164.65,0.288535,0.00376426,0
480,241.084,0.502258,582.921,582.355,-0.0254153,1164.67,0.309354,0.00375312,0
500,251.129,0.502258,582.919,582.388,-0.0309975,1164.71,0.241934,0.00350063,0
520,261.174,0.502258,582.914,582.383,-0.0301387,1164.7,0.239361,0.00329865,0
540,271.219,0.502258,582.91,582.395,-0.0322857,1164.71,0.175526,0.00316298,0
560,281.264,0.502258,582.91,582.355,-0.0254153,1164.67,0.319699,0.00317928,0
