step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax,yc,vc,circularity,pmax_minus_pmin
0,0,0,0,2.16097e-12,0,0.197376,0.250313,0.749687,14,4,6,0,0.5,0,1.00336,1717
10,0.0264164,0.00264164,0.0298632,3.89053e-12,0.057798,0.197351,0.250497,0.749874,12,3,7,0.0182115,0.500179,0.0132254,1.00344,1721.92
20,0.0528328,0.00264164,0.115702,3.32928e-12,0.05756,0.197348,0.251045,0.750423,12,3,7,0.0367863,0.50071,0.0259909,1.00347,1725.56
30,0.0792492,0.00264164,0.252841,4.72772e-12,0.057519,0.197344,0.251961,0.751316,11,3,7,0.0554593,0.501581,0.0383686,1.00355,1728.59
40,0.105666,0.00264164,0.437299,3.11988e-12,0.0569674,0.197336,0.253244,0.752527,11,3,8,0.0745296,0.502781,0.0503945,1.00371,1731.26
50,0.132082,0.00264164,0.665533,3.08416e-12,0.0561116,0.197323,0.25488,0.754037,11,3,8,0.0937274,0.504297,0.0620914,1.00391,1733.7
60,0.158498,0.00264164,0.934309,3.15015e-12,0.0549801,0.19731,0.25683,0.755845,11,3,8,0.113253,0.506116,0.0734734,1.00406,1735.96
70,0.184915,0.00264164,1.24063,3.45567e-12,0.0522789,0.197298,0.259076,0.757953,11,3,8,0.13285,0.508231,0.0845494,1.00424,1738.11
80,0.211331,0.00264164,1.58168,3.55624e-12,0.0515625,0.197289,0.261608,0.760353,11,3,8,0.152669,0.510634,0.0953229,1.00444,1740.16
90,0.237747,0.00264164,1.95482,4.03938e-12,0.0532913,0.19728,0.264422,0.763037,11,3,8,0.172616,0.513321,0.105794,1.00446,1742.17
100,0.264164,0.00264164,2.35753,3.44766e-12,0.0547543,0.197272,0.267522,0.765993,11,3,8,0.192574,0.516283,0.11596,1.00427,1744.14
110,0.29058,0.00264164,2.78737,2.55607e-12,0.059666,0.197262,0.270958,0.769207,11,3,8,0.212477,0.519523,0.12581,1.00399,1746.11
120,0.316997,0.00264164,3.24197,1.77882e-11,0.0623858,0.197245,0.274877,0.772616,10,3,8,0.232229,0.523039,0.135333,1.00356,1748.09
130,0.343413,0.00264164,3.71899,1.21e-11,0.0619081,0.197215,0.279472,0.776145,10,3,8,0.251798,0.526831,0.144509,1.00357,1750.1
140,0.369829,0.00264164,4.21581,1.26421e-11,0.0590865,0.197181,0.28439,0.779699,10,3,8,0.271224,0.530832,0.153322,1.00385,1752.16
150,0.396246,0.00264164,4.72994,1.61876e-11,0.0530336,0.197155,0.289379,0.783474,10,3,8,0.290201,0.535031,0.161756,1.00413,1754.29
160,0.422662,0.00264164,5.25894,1.51634e-11,0.0547576,0.197133,0.294524,0.787502,10,3,8,0.308606,0.539455,0.169795,1.00414,1756.47
170,0.449079,0.00264164,5.8007,1.23126e-11,0.059213,0.197099,0.3001,0.791759,10,3,8,0.326309,0.544111,0.177419,1.00381,1758.72
180,0.475495,0.00264164,6.35293,1.29724e-11,0.0632861,0.197046,0.306512,0.79618,10,3,8,0.343401,0.548998,0.184609,1.00332,1761.02
190,0.501911,0.00264164,6.91203,1.7063e-11,0.0621684,0.19702,0.313148,0.800629,10,3,8,0.360082,0.554055,0.191356,1.00292,1763.36
200,0.528328,0.00264164,7.47628,2.00333e-11,0.0588549,0.196988,0.319805,0.804974,10,3,8,0.375705,0.559254,0.197649,1.00307,1765.76
210,0.554744,0.00264164,8.04406,3.77476e-12,0.0513757,0.196927,0.326861,0.80949,11,3,8,0.389967,0.564619,0.203454,1.00306,1768.22
220,0.58116,0.00264164,8.6119,9.56124e-12,0.058995,0.196866,0.334659,0.814243,11,3,8,0.403156,0.570154,0.208767,1.00267,1770.68
230,0.607577,0.00264164,9.17634,1.31255e-11,0.06345,0.196832,0.342449,0.819186,11,3,8,0.415704,0.575803,0.213622,1.00158,1773.12
240,0.633993,0.00264164,9.73709,1.80508e-11,0.0644611,0.196794,0.350414,0.824161,11,3,8,0.426465,0.581603,0.217994,1.00077,1775.53
250,0.66041,0.00264164,10.2924,2.25392e-11,0.0591514,0.196722,0.359027,0.828976,11,3,8,0.435637,0.587532,0.221884,1.00043,1777.94
260,0.686826,0.00264164,10.8378,2.34912e-11,0.0554866,0.196677,0.367633,0.833833,12,3,8,0.444278,0.593487,0.22531,0.999725,1780.27
270,0.713242,0.00264164,11.3735,1.58679e-11,0.0632738,0.196625,0.376392,0.838921,12,3,8,0.450659,0.599554,0.228271,0.998459,1782.52
280,0.739659,0.00264164,11.8977,7.07795e-12,0.0675867,0.196567,0.385611,0.844186,12,3,8,0.456231,0.605716,0.230794,0.997127,1784.65
290,0.766075,0.00264164,12.4065,1.73361e-11,0.0717039,0.196556,0.394714,0.849448,11,3,8,0.460388,0.611925,0.232931,0.995939,1786.64
300,0.792492,0.00264164,12.903,2.31082e-11,0.0733236,0.196502,0.404038,0.854495,11,3,8,0.462621,0.618205,0.234667,0.994519,1788.55
310,0.818908,0.00264164,13.3839,1.16496e-11,0.0711878,0.196431,0.413525,0.859602,11,3,8,0.464828,0.624496,0.236058,0.992298,1790.36
320,0.845324,0.00264164,13.8471,1.56507e-11,0.0643836,0.196391,0.422879,0.864923,10,3,8,0.464383,0.630807,0.237135,0.99003,1792
330,0.871741,0.00264164,14.2951,6.77902e-12,0.0711072,0.196337,0.432467,0.870383,10,3,8,0.46453,0.637195,0.237868,0.988338,1793.48
340,0.898157,0.00264164,14.7231,7.41018e-12,0.0848119,0.19633,0.441931,0.875766,10,3,8,0.462486,0.643571,0.238359,0.986421,1794.8
350,0.924573,0.00264164,15.1352,1.48086e-11,0.0982093,0.19627,0.451303,0.880912,10,3,8,0.46019,0.649939,0.238634,0.983448,1796.07
360,0.95099,0.00264164,15.5316,1.57857e-11,0.0910135,0.196164,0.460566,0.88619,12,3,8,0.457031,0.656334,0.238678,0.980231,1797.26
370,0.977406,0.00264164,15.907,2.34377e-11,0.0754072,0.196121,0.469423,0.891663,13,3,8,0.452583,0.662706,0.238551,0.97752,1798.33
380,1.00382,0.00264164,16.2662,2.25009e-11,0.0698485,0.196057,0.478069,0.897202,15,3,8,0.448778,0.669122,0.238237,0.975016,1799.32
390,1.03024,0.00264164,16.608,2.70761e-11,0.0879585,0.19599,0.486556,0.902573,13,3,8,0.442714,0.675517,0.237729,0.972187,1800.19
400,1.05666,0.00264164,16.93,2.11705e-11,0.0913905,0.195939,0.494874,0.907772,11,3,8,0.438374,0.681833,0.237089,0.968682,1800.97
410,1.08307,0.00264164,17.2359,2.46952e-11,0.0969569,0.195871,0.502765,0.913174,13,3,8,0.4323,0.688164,0.236299,0.965732,1801.64
420,1.10949,0.00264164,17.5241,1.08114e-11,0.123035,0.195813,0.510891,0.918727,10,3,8,0.426386,0.694487,0.235392,0.963099,1802.21
430,1.1359,0.00264164,17.793,3.20397e-11,0.132234,0.195807,0.518811,0.92425,10,3,8,0.420579,0.700776,0.23442,0.95993,1802.71
440,1.16232,0.00264164,18.0479,1.26734e-11,0.105012,0.195734,0.526167,0.92951,10,3,8,0.4133,0.707044,0.233383,0.956246,1803.18
450,1.18874,0.00264164,18.2876,2.16842e-11,0.0852024,0.195625,0.533891,0.934789,10,3,8,0.407998,0.713293,0.232281,0.953009,1803.67
460,1.21515,0.00264164,18.5087,2.04281e-11,0.123148,0.195574,0.541434,0.940248,10,3,8,0.401231,0.71949,0.231134,0.95023,1804.13
470,1.24157,0.00264164,18.7148,1.17717e-11,0.101122,0.195521,0.548645,0.9458,10,3,8,0.394835,0.725685,0.229932,0.947492,1804.46
480,1.26799,0.00264164,18.9073,2.01916e-11,0.0912931,0.195425,0.555944,0.95123,10,3,8,0.398831,0.731869,0.228685,0.944099,1804.78
490,1.2944,0.00264164,19.0838,2.14284e-11,0.143711,0.195361,0.563223,0.956406,10,3,7,0.404325,0.73796,0.227393,0.940707,1805.05
500,1.32082,0.00264164,19.2456,3.93163e-11,0.185975,0.195306,0.570196,0.961717,10,3,7,0.409826,0.744014,0.226078,0.938095,1805.33
510,1.34724,0.00264164,19.3945,1.02629e-11,0.14185,0.195213,0.577152,0.96718,11,3,7,0.414842,0.75008,0.22474,0.935553,1805.61
520,1.37365,0.00264164,19.5295,4.99978e-11,0.11671,0.195128,0.58436,0.972666,10,3,7,0.419231,0.756131,0.223391,0.932538,1805.76
530,1.40007,0.00264164,19.6507,5.25269e-11,0.169151,0.195076,0.591386,0.977952,10,3,7,0.423437,0.762107,0.222052,0.929789,1805.9
