step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax,yc,vc,circularity,pmax_minus_pmin
0,0,0,0,3.01892e-10,0,2,-0.0999699,0.0999699,9,5,6,0,0.998741,0,4.58958,7.97087
10,0.489897,0.0301214,0.00376641,1.40418e-10,0.0727723,1.99995,-0.132852,0.131368,11,4,7,0.13887,0.997783,-0.00466258,4.33249,7.94114
20,0.718396,0.0190691,0.00963684,5.25713e-11,0.0487106,1.99995,-0.171667,0.164623,10,3,7,0.210971,0.996235,-0.00926459,4.01297,7.8984
30,0.884833,0.0150993,0.01701,1.1599e-10,0.0399109,1.99996,-0.209418,0.193925,10,3,7,0.263393,0.994278,-0.0144043,3.7044,7.857
40,1.02252,0.0127805,0.0259271,1.41414e-10,0.0327057,1.99999,-0.246127,0.220144,10,3,7,0.310366,0.991902,-0.0200357,3.42179,7.81896
50,1.14057,0.0110861,0.0361456,7.33067e-11,0.0298371,2.00002,-0.280895,0.243496,10,3,7,0.357021,0.989179,-0.0259107,3.17119,7.78617
60,1.24411,0.00980984,0.0474159,1.81153e-10,0.0336134,2.00005,-0.313576,0.264283,9,3,7,0.402779,0.986175,-0.031832,2.95406,7.75942
70,1.33645,0.00880124,0.0595057,1.44271e-10,0.0390392,2.00007,-0.344113,0.282813,9,3,7,0.448294,0.982957,-0.0376529,2.76671,7.73893
80,1.41991,0.00799852,0.0722197,1.94255e-10,0.0418906,2.00009,-0.372607,0.299499,9,3,7,0.492742,0.979571,-0.0432677,2.60128,7.72492
90,1.49619,0.0073433,0.0853921,3.2724e-10,0.0495938,2.00011,-0.399266,0.314629,9,3,7,0.536285,0.976056,-0.0485943,2.45548,7.71785
100,1.56657,0.00680566,0.0988856,2.24514e-10,0.06238,2.00013,-0.424249,0.328466,9,3,7,0.577971,0.972453,-0.0535584,2.32146,7.71842
110,1.63219,0.00637773,0.112607,2.35943e-10,0.0699234,2.00014,-0.447793,0.341196,9,3,7,0.616036,0.968785,-0.0580991,2.18953,7.72717
120,1.69372,0.00590122,0.126428,1.84865e-10,0.080262,2.00014,-0.47002,0.353004,9,3,7,0.668325,0.965087,-0.0621545,2.05378,7.74339
130,1.74963,0.00536575,0.139727,1.49683e-10,0.113326,2.00015,-0.490283,0.36362,9,3,7,0.735565,0.961514,-0.0655744,1.92066,7.76404
140,1.8008,0.00493969,0.152455,1.06084e-10,0.118922,2.00016,-0.508803,0.373267,9,3,7,0.797139,0.958087,-0.0684253,1.79926,7.78604
150,1.84842,0.004623,0.164721,9.65201e-11,0.102159,2.00019,-0.525992,0.382156,9,3,7,0.849581,0.954753,-0.0708179,1.69511,7.80764
160,1.89339,0.00439426,0.176621,1.16941e-10,0.105486,2.0002,-0.542171,0.390483,9,3,7,0.891861,0.951523,-0.0728376,1.60459,7.82762
170,1.93636,0.00422857,0.188244,3.19766e-10,0.100293,2.00019,-0.557543,0.398384,9,3,7,0.928329,0.948366,-0.0745656,1.52286,7.84548
180,1.97778,0.00408306,0.199645,2.47681e-10,0.0982888,2.00018,-0.572279,0.40595,9,3,7,0.96041,0.945257,-0.0760609,1.44886,7.86056
190,2.01796,0.00396549,0.210854,2.72067e-10,0.113358,2.00014,-0.58649,0.413247,9,3,7,0.988007,0.942201,-0.0773715,1.38068,7.87252
200,2.05702,0.00384998,0.221887,2.26198e-10,0.123705,2.00012,-0.600192,0.420299,9,3,7,1.01754,0.939179,-0.0785516,1.31815,7.8815
210,2.09492,0.0037338,0.232711,2.99703e-10,0.106362,2.00013,-0.61337,0.427102,9,3,7,1.04931,0.936177,-0.0796085,1.26019,7.88797
220,2.13165,0.00361708,0.243325,4.07217e-10,0.111549,2.00022,-0.626067,0.433666,9,3,7,1.08336,0.933191,-0.0805766,1.2069,7.89229
230,2.16725,0.00350993,0.253711,3.37202e-10,0.16757,2.00038,-0.638274,0.44001,9,3,7,1.11658,0.930219,-0.0814647,1.15884,7.89526
240,2.20182,0.00341385,0.263873,5.56689e-10,0.163411,2.00052,-0.65002,0.446162,9,3,7,1.14801,0.927318,-0.0823309,1.1171,7.89781
250,2.23542,0.00332527,0.273824,7.7673e-10,0.151927,2.00067,-0.661363,0.452106,9,3,7,1.17723,0.924459,-0.0831616,1.07937,7.90037
260,2.26818,0.00323815,0.283628,1.73928e-10,0.138878,2.00088,-0.672336,0.45786,10,3,7,1.2088,0.921608,-0.0839802,1.04615,7.90288
270,2.30017,0.00316411,0.293311,1.41142e-10,0.115347,2.00118,-0.682967,0.463473,10,3,7,1.23739,0.918744,-0.0847866,1.0131,7.90583
280,2.33146,0.00310134,0.302858,1.43418e-10,0.151103,2.0015,-0.693329,0.468974,10,3,7,1.26258,0.915903,-0.085565,0.981677,7.91039
290,2.36211,0.00303785,0.312289,1.09463e-10,0.222536,2.00186,-0.703407,0.474311,10,2,7,1.28802,0.913073,-0.0863091,0.950562,7.91731
300,2.39219,0.00298172,0.321607,1.22659e-10,0.183528,2.00223,-0.713232,0.47953,10,2,7,1.31253,0.910261,-0.0869838,0.921266,7.92723
310,2.42172,0.00293102,0.330786,7.57574e-10,0.134894,2.00261,-0.722853,0.484677,9,2,7,1.33458,0.907474,-0.0875761,0.895549,7.93978
320,2.45076,0.00288105,0.339818,1.47903e-10,0.148876,2.003,-0.732293,0.48969,10,2,7,1.35806,0.904705,-0.0880614,0.871458,7.95372
330,2.47933,0.00283963,0.348679,1.58726e-10,0.186156,2.00333,-0.741546,0.494611,10,2,7,1.37741,0.902002,-0.0884255,0.849486,7.96771
340,2.50749,0.00279694,0.357468,1.0039e-10,0.212888,2.00375,-0.750636,0.499483,10,2,7,1.39864,0.899263,-0.0887308,0.828416,7.98058
350,2.53526,0.00276091,0.366133,1.21884e-09,0.264972,2.00423,-0.759565,0.504229,9,2,7,1.41643,0.896525,-0.0889592,0.807748,7.99189
360,2.56269,0.00272756,0.374581,7.81879e-10,0.246548,2.00456,-0.768374,0.508942,9,2,7,1.43389,0.893896,-0.089072,0.787366,8.00074
370,2.58979,0.00269636,0.382866,7.12184e-10,0.202292,2.00488,-0.777061,0.513576,9,2,7,1.45018,0.891304,-0.0891249,0.767862,8.00709
380,2.61661,0.00267069,0.391082,3.20021e-10,0.18934,2.00534,-0.785632,0.51814,9,3,7,1.46416,0.888651,-0.0891865,0.746407,8.01127
390,2.64317,0.00264465,0.399131,5.16174e-10,0.151636,2.00579,-0.794087,0.522688,9,3,7,1.47841,0.886027,-0.0891847,0.726797,8.01541
400,2.66948,0.0026214,0.407143,5.85345e-10,0.210526,2.00647,-0.802428,0.527138,9,3,7,1.49139,0.883275,-0.0891457,0.707335,8.02033
410,2.69558,0.00259829,0.414982,5.72591e-10,0.221932,2.00703,-0.810657,0.531587,9,3,7,1.50482,0.880628,-0.089087,0.690882,8.02166
420,2.72142,0.00257322,0.422654,9.16722e-10,0.253118,2.0073,-0.818768,0.535944,9,3,7,1.51964,0.878187,-0.0890751,0.678422,8.01806
430,2.747,0.00254449,0.430184,3.53275e-10,0.261228,2.0075,-0.826753,0.540274,9,3,7,1.5371,0.875825,-0.089104,0.667713,8.01137
440,2.77226,0.00250932,0.437608,4.53824e-10,0.305318,2.00763,-0.8346,0.54453,9,3,7,1.55907,0.873527,-0.0891339,0.660935,8.0033
450,2.79713,0.00246897,0.444947,4.06018e-10,0.263185,2.00792,-0.842296,0.548712,9,3,7,1.58485,0.871158,-0.0892217,0.652525,7.99553
460,2.82159,0.00242604,0.452163,3.6211e-10,0.253473,2.00824,-0.849847,0.552834,9,2,7,1.61302,0.868803,-0.089342,0.644164,7.98739
470,2.84561,0.00238288,0.459198,4.81883e-10,0.187127,2.00839,-0.857245,0.556854,9,2,7,1.64229,0.86659,-0.089512,0.636124,7.97744
480,2.86921,0.00234096,0.466068,4.88408e-10,0.230878,2.00851,-0.864495,0.560824,9,2,7,1.67164,0.864445,-0.0896711,0.628362,7.96543
490,2.89239,0.00229964,0.472977,3.51173e-10,0.150535,2.00911,-0.87161,0.56469,9,2,7,1.70167,0.862031,-0.0898149,0.623354,7.95662
500,2.91516,0.00225932,0.479888,2.92286e-10,0.134548,2.01019,-0.878596,0.568509,9,2,7,1.73202,0.859347,-0.089913,0.618607,7.95243
510,2.93754,0.00222002,0.486574,4.21696e-10,0.107908,2.01105,-0.885465,0.572232,9,2,7,1.76253,0.856838,-0.0901533,0.61072,7.94947
520,2.95953,0.00218234,0.493141,3.56557e-10,0.129543,2.01194,-0.892227,0.575903,9,2,7,1.79322,0.854337,-0.0904456,0.600459,7.94963
530,2.98114,0.00214346,0.499583,3.48901e-10,0.110591,2.0128,-0.898882,0.579497,9,2,7,1.82583,0.851882,-0.0907386,0.590169,7.95198
540,3.00236,0.00210474,0.505894,5.14987e-10,0.0893224,2.01368,-0.90542,0.583019,9,2,7,1.85948,0.849447,-0.0910175,0.580105,7.95607
550,3.0232,0.00206595,0.512085,5.29432e-10,0.105357,2.0145,-0.911847,0.586497,9,2,7,1.89444,0.847071,-0.0912932,0.570995,7.96222
560,3.04364,0.00202707,0.518148,4.57621e-10,0.120957,2.01536,-0.918179,0.589868,9,2,7,1.93076,0.844723,-0.091539,0.561198,7.97035
