step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,mac_iters,visc_iters,nodal_iters,umax,max_dudt,rms_dudt
0,0,0,0,2.06519e-11,0,9,5,7,0,0,0
20,0.0390625,0.00195312,0.00593297,6.23857e-12,1.74756,9,4,6,0.879204,6.17703,1.08169
40,0.078125,0.00195312,0.00827935,6.23501e-12,1.74297,9,4,5,0.9124,2.97455,0.613819
60,0.117188,0.00195312,0.00997768,5.97211e-12,1.74037,9,4,5,0.926928,1.9529,0.43954
80,0.15625,0.00195312,0.0113458,6.28475e-12,1.74026,9,4,5,0.935538,1.45789,0.346
100,0.195312,0.00195312,0.0125045,6.37002e-12,1.74016,9,4,5,0.941396,1.16285,0.286898
120,0.234375,0.00195312,0.0135154,6.37357e-12,1.74009,9,4,5,0.945715,0.964315,0.245866
140,0.273438,0.00195312,0.0144147,6.37712e-12,1.74003,9,4,5,0.949075,0.827236,0.215569
160,0.3125,0.00195312,0.015226,6.26343e-12,1.73998,9,4,5,0.951788,0.721698,0.1922
180,0.351562,0.00195312,0.0159657,6.16751e-12,1.73993,9,4,5,0.954042,0.638671,0.173577
200,0.390625,0.00195312,0.0166457,6.12133e-12,1.73987,9,4,5,0.955953,0.57294,0.158354
220,0.429688,0.00195312,0.0172749,6.09468e-12,1.73981,9,3,5,0.957602,0.517187,0.145656
240,0.46875,0.00195312,0.0178602,6.03873e-12,1.73977,9,3,5,0.95904,0.471864,0.134887
260,0.507812,0.00195312,0.0184073,5.99343e-12,1.73973,9,3,5,0.960308,0.431797,0.125623
280,0.546875,0.00195312,0.0189205,5.98632e-12,1.73969,9,3,5,0.961434,0.398306,0.117561
300,0.585938,0.00195312,0.0194037,5.96145e-12,1.73966,9,3,5,0.962441,0.368103,0.110473
320,0.625,0.00195312,0.0198598,5.92237e-12,1.73964,9,3,5,0.963348,0.342109,0.104184
340,0.664062,0.00195312,0.0202915,5.93303e-12,1.73961,9,3,5,0.964168,0.318637,0.0985622
360,0.703125,0.00195312,0.020701,5.9579e-12,1.73959,9,3,5,0.964912,0.297685,0.0935007
380,0.742188,0.00195312,0.0210903,5.9508e-12,1.73958,9,3,5,0.965591,0.278928,0.0889159
400,0.78125,0.00195312,0.021461,5.96856e-12,1.73957,9,3,5,0.966212,0.261645,0.0847398
420,0.820312,0.00195312,0.0218147,5.99698e-12,1.73956,9,3,5,0.966784,0.246317,0.0809168
440,0.859375,0.00195312,0.0221527,6.01474e-12,1.73955,9,3,5,0.96731,0.232013,0.0774012
460,0.898438,0.00195312,0.022476,5.97922e-12,1.73954,9,3,5,0.967796,0.21914,0.0741551
480,0.9375,0.00195312,0.0227858,5.96145e-12,1.73953,9,3,5,0.968245,0.207185,0.0711467
500,0.976562,0.00195312,0.023083,5.92948e-12,1.73952,9,3,5,0.968661,0.196091,0.068349
