step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,mac_iters,visc_iters,nodal_iters,umax,max_dudt,rms_dudt
0,0,0,0,4.45902e-12,0,9,4,6,0,0,0
20,0.104167,0.00520833,0.00464293,6.61471e-12,1.69989,9,4,6,0.801643,2.35961,0.378953
40,0.208333,0.00520833,0.00665997,5.65681e-12,1.75779,9,4,6,0.85838,1.26591,0.218222
60,0.3125,0.00520833,0.0081089,7.90834e-12,1.79217,9,4,6,0.882738,0.903489,0.160483
80,0.416667,0.00520833,0.00927642,8.36664e-12,1.8202,9,3,6,0.897452,0.722031,0.130565
100,0.520833,0.00520833,0.0102666,5.16565e-12,1.82552,9,3,6,0.909014,0.627566,0.11243
120,0.625,0.00520833,0.0111315,4.99867e-12,1.82547,9,3,6,0.917556,0.567362,0.100355
140,0.729167,0.00520833,0.0119025,4.72511e-12,1.82123,9,3,6,0.924077,0.514632,0.0917802
160,0.833333,0.00520833,0.0126004,4.57945e-12,1.81798,9,3,6,0.929169,0.468076,0.0853814
180,0.9375,0.00520833,0.0132384,4.29168e-12,1.81616,9,3,6,0.933202,0.430452,0.0803879
200,1.04167,0.00520833,0.0138268,4.39115e-12,1.81511,9,3,6,0.936487,0.394875,0.0763402
220,1.14583,0.00520833,0.0143736,4.50484e-12,1.81483,9,3,6,0.93914,0.366453,0.0729486
240,1.25,0.00520833,0.0148851,4.64695e-12,1.81489,9,3,6,0.941265,0.339282,0.0700332
260,1.35417,0.00520833,0.0153662,4.83524e-12,1.81502,9,3,6,0.94303,0.312498,0.067463
280,1.45833,0.00520833,0.015821,4.87788e-12,1.81517,9,3,6,0.944418,0.290822,0.065156
300,1.5625,0.00520833,0.016253,4.89209e-12,1.81532,9,3,6,0.945543,0.269648,0.0630569
320,1.66667,0.00520833,0.016665,4.78906e-12,1.81547,9,3,6,0.946393,0.250721,0.0611296
340,1.77083,0.00520833,0.0170595,4.79083e-12,1.81561,9,3,6,0.947076,0.234367,0.0593487
360,1.875,0.00520833,0.0174386,4.80327e-12,1.81574,9,3,6,0.947547,0.219856,0.057692
380,1.97917,0.00520833,0.0178043,4.76597e-12,1.81587,9,3,5,0.947903,0.205802,0.0561444
400,2.08333,0.00520833,0.0181579,4.75353e-12,1.81599,9,3,5,0.948145,0.19815,0.0546922
420,2.1875,0.00520833,0.018501,4.78018e-12,1.8161,9,3,5,0.948271,0.190938,0.0533229
440,2.29167,0.00520833,0.0188347,4.74465e-12,1.8162,9,3,5,0.94835,0.18373,0.0520279
460,2.39583,0.00520833,0.01916,4.76597e-12,1.8163,9,3,5,0.948382,0.177278,0.0507963
480,2.5,0.00520833,0.0194779,4.72689e-12,1.81638,9,3,5,0.948356,0.17098,0.0496204
500,2.60417,0.00520833,0.0197891,4.76419e-12,1.81646,9,3,5,0.948295,0.164987,0.0484931
