step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.070782,0.0706525,0.0472073,0.0400372,0.0713872,0.0126705,0
40,0.156415,0.00391503,0.0707742,0.0706396,0.0653402,0.0788025,0.0851648,0.0124927,0
60,0.234805,0.00392413,0.0707638,0.070636,0.070521,0.113959,0.0991884,0.0124832,0
80,0.313417,0.00393706,0.0707556,0.0706244,0.086927,0.138836,0.0932725,0.0128983,0
100,0.392329,0.00395391,0.0707499,0.0706201,0.0929713,0.141309,0.197942,0.0133058,0
120,0.47162,0.00397485,0.0707465,0.0706165,0.0981521,0.141305,0.351213,0.014167,0
140,0.551374,0.00400007,0.0707418,0.070589,0.137008,0.141277,0.391381,0.0135492,0
160,0.63168,0.0040298,0.0707299,0.0706,0.121466,0.141288,0.715575,0.0160883,0
180,0.712631,0.00406434,0.0707277,0.0705963,0.126647,0.141285,0.770877,0.0194025,0
200,0.794326,0.00410404,0.0707845,0.0706543,0.0446169,0.141343,0.881139,0.0262824,0
220,0.876872,0.00414932,0.070902,0.0707483,-0.0883576,0.141437,0.928334,0.031636,0
240,0.960387,0.00420069,0.0710324,0.0708972,-0.299044,0.141586,0.954895,0.0349058,0
260,1.045,0.00425877,0.0711439,0.0709912,-0.432019,0.137157,0.985486,0.0339656,0
280,1.13085,0.0043243,0.0712229,0.0710651,-0.536499,0.126723,0.964335,0.0325367,0
300,1.2181,0.00439819,0.0712668,0.0710962,-0.580536,0.118365,0.98202,0.035543,0
320,1.30692,0.00448153,0.0713493,0.0711444,-0.64875,0.113903,0.990549,0.046911,0
340,1.39752,0.00457568,0.0715268,0.0713324,-0.914699,0.112308,0.960353,0.0535618,0
360,1.49013,0.00468233,0.071822,0.0716003,-1.29376,0.112529,0.967495,0.0539913,0
380,1.58502,0.00480361,0.072195,0.0719513,-1.79026,0.113829,0.969208,0.0583186,0
400,1.68252,0.00494224,0.0726498,0.0724402,-2.4819,0.115793,0.967457,0.0606217,0
420,1.783,0.00510176,0.0732257,0.0730072,-3.28406,0.118161,0.969624,0.069289,0
440,1.88693,0.00528685,0.0739093,0.0737024,-4.26756,0.120713,0.97053,0.0776734,0
460,1.99489,0.00550387,0.0746708,0.0744458,-5.31926,0.123184,0.986104,0.0829564,0
480,2.1076,0.00576173,0.0755487,0.0753174,-6.5523,0.12554,0.977689,0.0880995,0
500,2.226,0.00607327,0.0764985,0.0762567,-7.88118,0.127689,0.963179,0.0947113,0
520,2.35136,0.00645792,0.0776717,0.0774268,-9.53646,0.129803,0.984845,0.0985171,1
540,2.48544,0.0069467,0.0788815,0.0786353,-11.2461,0.130397,0.996324,0.102953,0
560,2.63084,0.00759289,0.0802844,0.0800085,-13.1889,0.127635,0.992878,0.11,0
580,2.79164,0.00849791,0.081833,0.0815424,-15.3588,0.12618,0.996601,0.112917,0
600,2.97506,0.00988661,0.0834675,0.0831824,-17.679,0.126007,0.985396,0.1185,0
620,3.19627,0.012405,0.085388,0.0850476,-20.3178,0.126674,0.99344,0.120056,0
640,3.50204,0.0193697,0.0873556,0.0870447,-23.143,0.128123,0.989594,0.123979,0
660,4.38848,0.0276742,0.089497,0.0891925,-26.1816,0.129745,0.988237,0.119357,0
680,4.74782,0.0137464,0.0911931,0.0908588,-28.5389,0.131009,0.991112,0.114448,0
700,4.98383,0.0104774,0.0922507,0.0919745,-30.1173,0.132387,0.983112,0.100536,0
720,5.17472,0.00884143,0.09293,0.0926788,-31.1137,0.134005,0.99261,0.088573,0
740,5.34016,0.00782134,0.0933288,0.0931213,-31.7397,0.136196,0.987447,0.0765892,1
760,5.48875,0.00711118,0.0934858,0.0932965,-31.9876,0.140311,0.99317,0.0666983,0
780,5.62518,0.00658271,0.0934987,0.0932794,-31.9634,0.141603,0.989987,0.0564436,1
800,5.75236,0.0061715,0.0933417,0.0931201,-31.738,0.140352,0.989063,0.048736,0
820,5.87221,0.0058412,0.0930433,0.092887,-31.4082,0.139124,0.92811,0.0392779,0
840,5.9861,0.00556952,0.0926895,0.0925299,-30.903,0.137766,0.850001,0.0299463,0
860,6.09503,0.00534196,0.0923123,0.0921692,-30.3927,0.136517,0.784234,0.0255038,0
880,6.19979,0.00514864,0.0919894,0.09185,-29.9411,0.135339,0.780243,0.0179654,0
900,6.30098,0.00498253,0.0917056,0.0915741,-29.5508,0.13436,0.901064,0.0165926,0
920,6.39909,0.00483852,0.0914766,0.0913214,-29.1934,0.133581,0.947176,0.0159298,0
940,6.49451,0.00471278,0.0913281,0.0911554,-28.9585,0.133293,0.915996,0.0160431,0
960,6.58758,0.00460238,0.0912109,0.0910046,-28.7452,0.133763,0.831928,0.0162542,0
980,6.67859,0.00450503,0.0911332,0.090979,-28.709,0.135479,0.811395,0.0163877,0
1000,6.76777,0.00441893,0.0910984,0.0909479,-28.6649,0.1394,0.823345,0.0153837,0
1020,6.85533,0.00434264,0.0911151,0.0909589,-28.6805,0.145609,0.836054,0.0151385,0
1040,6.94146,0.00427498,0.0911336,0.0909802,-28.7107,0.155759,0.749866,0.0134546,0
1060,7.02632,0.00421501,0.0911544,0.0910138,-28.7582,0.161373,0.820055,0.0137099,0
1080,7.11005,0.00416194,0.0911754,0.091048,-28.8065,0.161736,0.860906,0.014462,0
1100,7.19279,0.00411512,0.0912009,0.0910748,-28.8445,0.161763,0.838394,0.0151017,0
1120,7.27465,0.00407401,0.0912263,0.0910962,-28.8747,0.161785,0.823216,0.017226,0
1140,7.35574,0.00403817,0.0912536,0.0911078,-28.8912,0.161796,0.753819,0.0186098,0
1160,7.43617,0.00400723,0.0912865,0.0911523,-28.9542,0.161841,0.751907,0.0209782,0
1180,7.51603,0.00398087,0.0913193,0.0911743,-28.9853,0.161863,0.755992,0.0227156,0
1200,7.59541,0.00395886,0.0913298,0.0911829,-28.9974,0.159668,0.733391,0.02496,0
1220,7.6744,0.00394097,0.0913285,0.0911749,-28.9861,0.146021,0.797063,0.0271352,0
1240,7.75306,0.00392706,0.0913205,0.0911469,-28.9464,0.121171,0.896292,0.0289091,0
1260,7.83149,0.00391699,0.0913156,0.0911407,-28.9378,0.0875824,0.695397,0.0288113,0
1280,7.90976,0.00391069,0.0913066,0.0911597,-28.9645,0.0532581,0.317446,0.0220734,0
1300,7.98794,0.00390809,0.0913066,0.09117,-28.9792,0.0253094,0.350805,0.0148923,0
1304,8,0.000336076,0.0913042,0.0911615,-28.9671,0.0240973,0.308243,0.0134076,0
